Date,Close,High,Low,Open,Volume
13-03-2023,148.9676971,151.6110378,146.2253488,146.3342512,84457100
14-03-2023,151.0665283,151.8684388,148.6013983,149.7696099,73695900
15-03-2023,151.4625549,151.7199537,148.4231985,149.6805231,77167900
16-03-2023,154.2939911,154.8979014,150.1260173,150.6408298,76161100
17-03-2023,153.4524841,155.1751175,152.7396714,154.5217033,98944600
20-03-2023,155.8284912,156.2443112,152.6109396,153.5217675,73641400
21-03-2023,157.6897278,157.8085249,154.9770788,155.7493051,73938300
22-03-2023,156.2542419,160.5212089,156.2344374,157.7095668,75701800
23-03-2023,157.3432159,159.9370678,156.1056961,157.2442234,67622100
24-03-2023,158.6500549,158.7391527,156.2740227,157.2739334,59196500
27-03-2023,156.699707,159.1648519,156.2937969,158.343137,52390300
28-03-2023,156.0760193,156.9076442,154.4226943,156.3928317,45992200
29-03-2023,159.1648712,159.4420745,157.7590504,157.7788398,51305700
30-03-2023,160.7389832,160.8478855,159.6598694,159.9172681,49501700
31-03-2023,163.2536011,163.3526087,160.2934635,160.8181706,68749800
03-04-2023,164.5109406,164.6297376,162.5804126,162.6299164,56976200
04-04-2023,163.9763641,165.1742751,163.4615516,164.9366809,46278300
05-04-2023,162.125,163.402129,160.1845773,163.0952265,51511700
06-04-2023,163.016037,163.3130448,160.3825908,160.8082904,45390100
10-04-2023,160.412323,160.412323,158.4817944,159.8084125,47716900
11-04-2023,159.1945801,160.7390027,158.907467,160.7291079,47644200
12-04-2023,158.5015717,160.4419946,158.1847593,159.6103848,50133100
13-04-2023,163.9070435,164.1446527,159.8083779,160.0162879,68445600
14-04-2023,163.5605469,164.6594652,162.1844253,162.9467267,49386500
17-04-2023,163.5803223,163.7387284,162.3923062,163.4417206,41516200
18-04-2023,164.8079834,165.738601,163.9961629,164.4416823,49923000
19-04-2023,165.9563751,166.4810824,163.8872303,164.1446442,47720200
20-04-2023,164.9861603,166.193981,163.9070465,164.4317537,52456400
21-04-2023,163.3724365,164.7881521,162.8477293,163.4021358,58337300
24-04-2023,163.6793365,163.9466451,162.2537112,163.3526295,41949600
25-04-2023,162.134903,164.6495366,162.0952939,163.5407237,48714100
26-04-2023,162.125,163.6298284,161.1745932,161.4319919,45498800
27-04-2023,166.7285767,166.877073,163.5407243,163.5407243,64902300
28-04-2023,167.9859009,168.1542169,166.2038842,166.8077946,55209200
01-05-2023,167.8968048,168.7482191,166.9562927,167.5899023,52472900
02-05-2023,166.8572845,168.6492261,165.8672686,168.3918123,48425700
03-05-2023,165.778183,169.2135399,165.491085,167.8077189,65136000
04-05-2023,164.1347351,165.372255,162.6695158,163.2437268,81235400
05-05-2023,171.8370972,172.5598047,169.0551393,169.2729441,113316400
08-05-2023,171.7677765,172.1142881,170.3916548,170.7579559,55962800
09-05-2023,170.0550537,171.8073712,169.8867528,171.322273,45326900
10-05-2023,171.8271942,172.292503,170.1837638,171.2925922,53724500
11-05-2023,172.0152588,172.8468685,170.4510319,172.1142664,49514700
12-05-2023,171.0833588,172.5605131,169.5268767,172.1243012,45497800
